date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:40	16015/16015	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC6F78142D5DBE	https://github.githubassets.com/assets/vendors-node_modules_lit-html_lit-html_js-cc7cb714ead5.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_lit-html_lit-html_js-cc7cb714ead5.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:40	5354/5354	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC6F78143150ED	https://github.githubassets.com/assets/vendors-node_modules_morphdom_dist_morphdom-esm_js-node_modules_github_memoize_dist_esm_index_js-8d7117d67c36.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_morphdom_dist_morphdom-esm_js-node_modules_github_memoize_dist_esm_index_js-8d7117d67c36.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:41	9919/9919	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC6F7813D95AB0	https://github.githubassets.com/assets/vendors-node_modules_github_remote-form_dist_index_js-node_modules_delegated-events_dist_inde-893f9f-880ac2bbb719.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_github_remote-form_dist_index_js-node_modules_delegated-events_dist_inde-893f9f-880ac2bbb719.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:41	77303/77303	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC6F78143BA58C	https://github.githubassets.com/assets/vendors-node_modules_github_turbo_dist_turbo_es2017-esm_js-1cea0f5eff45.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_github_turbo_dist_turbo_es2017-esm_js-1cea0f5eff45.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:41	13194/13194	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC6F9721624649	https://github.githubassets.com/assets/vendors-node_modules_scroll-anchoring_dist_scroll-anchoring_esm_js-node_modules_github_hotkey-1a1d91-1bb71f3f93c2.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_scroll-anchoring_dist_scroll-anchoring_esm_js-node_modules_github_hotkey-1a1d91-1bb71f3f93c2.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:41	13280/13280	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC7A5B6D48FD1F	https://github.githubassets.com/assets/vendors-node_modules_color-convert_index_js-cdd1e82b3795.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_color-convert_index_js-cdd1e82b3795.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:41	8877/8877	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC6F7814321362	https://github.githubassets.com/assets/vendors-node_modules_primer_behaviors_dist_esm_dimensions_js-node_modules_github_jtml_lib_index_js-b1947a1d4855.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_primer_behaviors_dist_esm_dimensions_js-node_modules_github_jtml_lib_index_js-b1947a1d4855.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:42	8864/8864	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC6F7814310325	https://github.githubassets.com/assets/vendors-node_modules_github_session-resume_dist_index_js-node_modules_primer_behaviors_dist_e-da6ec6-77ce2f267f4e.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_github_session-resume_dist_index_js-node_modules_primer_behaviors_dist_e-da6ec6-77ce2f267f4e.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:42	20785/20785	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC8007362E1837	https://github.githubassets.com/assets/app_assets_modules_github_updatable-content_ts-7fcc5f2841d8.js	D:/lodash/lodash/github.githubassets.com/assets/app_assets_modules_github_updatable-content_ts-7fcc5f2841d8.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
18:54:42	32253/32253	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC863A3358070D	https://github.githubassets.com/assets/vendors-node_modules_github_quote-selection_dist_index_js-node_modules_github_textarea-autosi-9e0349-7c78ee755ad3.js	D:/lodash/lodash/github.githubassets.com/assets/vendors-node_modules_github_quote-selection_dist_index_js-node_modules_github_textarea-autosi-9e0349-7c78ee755ad3.js	(from https://github.com/lodash/lodash/blob/4.17.15/lodash.js)
